Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18
ARI,0.7288508347324651,0.8173954322408972,0.3166521877309556,0.580688405518185,0.7464182795879927,0.4958250970277731,0.33321049588982615,,0.47272709624516174,0.45651017405510785,0.4331035043998931,0.7480426183532634,0.3539319901935436,0.4787128754497403,0.4445786586950867,0.5987597362017276,0.3650295855015523,0.3577369534900975
ATL,0.4373066852111102,0.36252999713679357,0.700252388607024,0.46100435532110967,,0.2529387144490264,0.2850597836985309,0.683023147670499,0.5829268303796448,0.45834676063239577,0.793884288359757,0.6981492046488429,0.6139152537085584,0.543713114961635,0.32036389361682416,0.4012402637982724,0.44139560118962523,0.7922431587632257
BAL,0.43592918295762995,0.913386228794431,0.6348313334471978,0.5452012551712349,0.8103675215379974,0.7483440584321467,,0.8560545879058464,0.8310377635037242,0.6815491016291364,0.8647949603098082,0.907970273446529,0.7542483097239633,0.819948704865942,0.6505368897155195,0.8966088190538842,0.49532513622863206,0.7341927159913737
BUF,0.56407081704237,0.8577589545958502,0.8909711964831413,0.9353238304106686,0.8973204434405565,0.7470612855509736,,0.898575859783114,0.6657444348648419,0.8321161970515352,0.7466642621952863,0.7231418263436639,0.7356926877480113,0.7556727690417949,0.8412822835812095,0.8656927537473308,0.567976485347651,0.9086116693859071
CAR,0.3406048427534538,0.18260456775910283,0.29974761139297595,0.31784349574686854,0.41804598357599454,0.2977573722693817,0.3464455922841766,0.10142414021688595,0.07998874252643351,0.5597136492671929,0.206115711640243,0.1173259535566572,0.20849848803335955,,0.4353637081969708,0.20577229645491932,0.28430632116824284,0.13580246552709374
CHI,0.4324161639899626,0.18544252417727458,0.5082242581784412,0.5695217074364729,,0.2965251684230271,0.756004952660862,0.14394541209415357,0.28669298894735795,0.71072339984383,0.3160466249834225,0.49577510055564883,0.14591580507958302,0.17485529857863413,0.6948303789286393,0.2589179752836792,0.24469668262285582,0.2729116262953035
CIN,0.7279605966124354,0.800879447423352,0.47240307473356746,0.4543028761287681,0.42106572952489546,0.2910891913753838,0.6557925553634851,0.8049775957325622,0.713307011052642,,0.5360871425818106,0.7839270694108015,0.24575169027603672,0.24432723095820508,0.3494631102844805,0.672959250624098,0.6349704144984477,0.8152211919490828
CLE,0.27203940338756466,0.08661377120556901,0.16459894997572233,0.11377984546750397,0.3005248125901565,0.2516747745584078,0.49682504267395755,0.39040741330689943,,0.421504576644246,0.1352050396901918,0.4272940477534146,0.2314930064227357,0.5371563752044397,0.3051696210713607,0.13430724625266918,0.3567036911962252,0.18477880805091718
DAL,0.17510071174000585,0.7532460039491867,0.4917757418215588,0.30269441044376383,0.6161645241354269,0.7022426277306183,0.46336576609345864,0.3480322385681863,0.5272729037548383,,0.6217540614936317,0.25924430402498744,0.34649087788356053,0.22049226441040792,0.48627844623524247,0.4105965067981701,0.34371101189057474,0.6493082652711342
DEN,0.7885988083529438,0.5548286344129191,0.3813552129618347,0.5456971238712319,0.23645755417175618,0.7007768732127602,0.8166329729760561,0.6519677614318137,0.5035749390802666,0.7981384480229244,0.4361505011420874,,0.4331280570500089,0.7057227282346854,0.38774522679436385,0.7900289622276138,0.3193414236742289,0.5040499114288245
DET,0.4202615007856051,0.8145574758227254,0.3651686665528022,0.886220154532496,0.5789342704751046,0.46961249624306,0.6835641561645719,,0.7227011531939176,0.5904920849765638,0.36886245367551873,0.8936710344403905,0.544457284304369,0.7795077355895921,0.5712125400881927,0.7708293339957631,0.6125158796902955,0.7270883737046965
GB,0.5797384992143949,0.7186348341009703,0.8354010500242777,0.6973055895562361,,0.7089108086246162,0.6667895041101739,0.6866921864508753,0.9200112574735665,0.5086491371504634,0.8456000265083318,0.7368383401414632,0.455542715695631,0.8251447014213659,0.6122547732056361,0.7410820247163208,0.5046748637713679,0.6293898134869218
HOU,0.35146633114760695,0.4677448561474024,0.636637624630912,0.7411971357365639,0.1896324784620026,,0.44972051293788595,0.42638885107020497,0.49642506091973343,0.7428433966574473,0.6346458570414483,0.27685817365633614,0.48897678644675835,0.2648131892569894,0.5554213413049133,0.7522036762830548,0.32123544217825406,0.6120410926527605
IND,0.6647868801260483,0.4451713655870809,0.5857200519357029,0.30608216099525565,0.711873375441709,0.5041749029722269,0.2780811015956731,0.6997904075072695,0.40316374535600774,0.5416532393676042,,0.22670692717774632,0.5110232135532417,0.5878053096725141,0.39946374601613166,0.37695333963338384,0.701594018052278,0.3879589073472395
JAX,0.6593951572465462,0.19912055257664796,0.36336237536908794,0.1669499023654507,0.20884525660529893,0.37458422289736665,0.28426562767646185,,0.45006699803327654,0.25715660334255275,0.2575197222381936,0.25195738164673664,0.4357078902957655,0.4121946903274859,0.5685407690295581,0.20997103777238624,0.29840598194772205,0.560058628363029
KC,0.5057497465342418,0.45874401103471507,0.8176490375787291,0.45479874482876514,0.791154743394701,0.53038750375694,0.8677833245622952,0.676492704958427,0.3342555651351581,,0.5638494988579126,0.7732930728222537,0.6535091221164395,0.7351868107430106,0.6278489986434628,0.7897302165855513,0.6806585763257711,0.7992317987820845
LAC,0.4942502534657583,0.7518493593247985,0.6186447870381653,0.7733807162924247,0.6141285528094168,0.708621825367745,0.7219188984043269,0.6356654814983346,0.7408325032552147,0.6924716456394313,0.7424802777618065,,0.8332030269883913,0.39212228319284154,0.3721510013565372,0.5894034932018299,0.6787645578217459,0.4959500885711755
LAR,0.648533668852393,0.7139813861319876,0.2546621197781641,0.6939178390047444,0.5164940131078767,0.2516559415678533,0.7157343723235381,,0.8610454034281185,0.39317157411061576,0.6594400744512487,0.5580865476678157,0.7915015119666404,0.5212871245502597,0.4287874599118074,0.5401136036410805,0.5586043988103748,0.6422630465099025
LV,0.4006638090733974,0.2481506406752015,0.19880180137803105,0.43047829256352715,0.28812662455829097,0.5478035430711999,0.13221667543770477,,0.5499330019667235,0.20186155197707556,0.37824593850636834,0.5727059522465854,0.16679697301160867,0.2942772717653146,0.09138002730301875,0.24779632371694515,0.591217321095921,0.20076820121791555
MIA,0.33521311987395175,0.5786173378026072,0.10902880351685873,0.6097115749029798,0.5819540164240055,0.29137817463225507,0.5031749573260424,0.316976852329501,0.16896223649627584,0.16788380294846483,0.33760175331005504,,0.6944061315105916,0.4865282613612385,0.3042797778086548,0.32704074937590194,0.31652237186788107,0.4544020426492438
MIN,0.5675838360100374,0.6374700028632064,0.5275969252664325,0.5012749972364446,0.6994751874098435,,0.32191175044837256,0.3643345185016654,0.2772988468060824,0.3184508983708636,0.6839533750165775,0.2631616598585368,0.4974250227649043,0.5394428759774599,0.5137215537647575,0.7152254514077698,0.38748412030970447,0.37061018651307825
NE,0.5993361909266026,0.42138266219739284,0.40273070002339273,0.6821565042531315,0.1026795565594435,0.5630869864932211,0.4612031449838092,0.6095925866931006,0.41707316962035523,0.20802031467571247,0.5936318924705234,0.21607293058919852,0.62754519716971,,0.1587177164187905,0.10339118094611577,0.4697868535644699,0.5455979573507562
NO,0.2711491652675349,0.18123538220597146,0.1957298229319201,0.06467616958933142,0.5044998785039365,0.43691301350677886,0.24399504733913802,0.20741140609501363,0.13895459657188147,0.4402863507328071,,0.30185079535115705,0.3055938684894084,0.13698034708586493,0.5646362918030292,0.46886533511766904,0.34091934334128915,0.2077568412367743
NYG,0.18052420395553193,0.24675399605081327,0.1823509624212709,0.22661928370757528,0.4955001214960635,0.12831946757185145,0.18336702702394392,0.08196824991843987,0.21823188129949028,0.28927660015616996,0.15439997349166826,0.10632896555960947,0.37245480283029,,0.2664322439003866,0.2847745485922301,0.40878267890407904,0.3506917347288658
NYJ,0.37212763619192346,0.14224104540414984,0.1875665937935851,0.3902884250970202,0.3838354758645731,0.2992231267872398,0.6535544077158234,0.19502240426743778,,0.578495423355754,0.4063681075294766,0.09202972655347097,0.3860847462914417,0.5134717386387615,0.4314592309704419,0.531134664882331,0.5302131464355301,0.0913883306140929
PHI,0.8248992882599941,0.5412559889652849,0.7453378802218359,0.635827582511648,0.7635424458282438,0.8716805324281486,0.6780882495516274,0.9180317500815601,,0.49135086284953655,0.6311375463244813,0.7407556959750126,0.854084194920417,0.6078777168071585,0.9086199726969812,0.6577087001747826,0.432023514652349,0.760076689001898
PIT,0.6278723638080765,0.558382478148384,0.5972692999766073,0.49872500276355536,,0.7483252254415922,0.34420744463651487,0.3133078135491247,0.5968362546439923,0.3075283543605687,0.4639128574181894,0.5042248994443512,0.26430731225198867,0.18005129513405804,0.6957202221913452,0.22917066600423686,0.6432963088037749,0.26580728400862635
SEA,0.4146439729114299,0.44161752185161596,0.8042701770680799,0.419311594481815,0.455765945807232,0.6254157771026334,0.550279487062114,,0.3585645168425424,0.5434898259448921,0.34055992554875125,0.6233988845696152,0.5025749772350957,0.456286885038365,0.6005362539838683,0.4598863963589194,0.7156936788317572,0.3005248125901565
SF,0.58535602708857,0.8187646177940285,0.6833478122690444,0.8330500976345493,0.4835059868921233,0.47936173282787153,0.7149402163014691,0.573611148929795,0.7817681187005097,0.6068284258893842,0.5668964956001069,0.8826740464433428,0.7685069935772643,,0.831850601755139,0.6230466603666162,0.7553033173771442,0.6994751874098435
TB,0.5626933147888897,0.5322551438525975,0.8124334062064149,0.36417241748835205,0.5442340541927679,0.5206382671721285,0.3164358438354281,0.7925885939049864,,0.7919796853242875,0.25333573780471375,0.44191345233218426,0.6460680098064564,0.8630196529141351,0.6796361063831758,0.7942277035450807,0.6834776281321189,0.8641975344729063
TEN,0.21140119164705617,0.2860186138680124,0.4142799480642971,0.2588028642634361,0.2535817204120073,0.45219645692880006,0.5387968550161908,0.3002095924927305,0.25916749674478534,,0.36535414295855173,0.37660111543038477,0.5642921097042345,0.4628436247955603,0.16814939824486097,0.2102697834144487,0.6590806566587109,0.439941371636971
WAS,0.8194757960444681,0.2813651658990297,0.801198198621969,0.5389956446788904,0.3858714471905832,0.7034748315769729,0.5366342339065413,0.32350729504157305,0.6414354831574576,0.40950791502343614,0.662398246689945,,0.5668719429499911,0.4605571240225401,0.7335677560996134,0.34229129982521744,0.6562889881094253,0.23992331099810205
